0:01.004 || 0:01.004: Child 0 Message 0
0:01.004 || 0:01.003: Child 2 Message 0
0:01.004 || 0:01.004: Child 1 Message 0
0:01.004 || 0:01.003: Child 3 Message 0
0:01.476 || 0:01.476: User Message: Hello
0:02.004 || 0:02.004: Child 2 Message 1
0:02.004 || 0:02.004: Child 0 Message 1
0:02.004 || 0:02.004: Child 1 Message 1
0:02.005 || 0:02.004: Child 3 Message 1
0:03.005 || 0:03.005: Child 0 Message 3
0:03.005 || 0:03.005: Child 1 Message 3
0:03.005 || 0:03.004: Child 2 Message 3
0:03.005 || 0:03.005: Child 3 Message 3
0:03.137 || 0:03.137: User Message: Please
0:03.857 || 0:03.857: User Message: work
0:05.006 || 0:05.006: Child 0 Message 4
0:05.006 || 0:05.006: Child 1 Message 4
0:05.006 || 0:05.006: Child 2 Message 4
0:05.006 || 0:05.006: Child 3 Message 4
0:06.007 || 0:06.007: Child 0 Message 5
0:06.007 || 0:06.007: Child 1 Message 5
0:06.007 || 0:06.007: Child 2 Message 5
0:06.007 || 0:06.007: Child 3 Message 5
0:07.009 || 0:07.009: Child 0 Message 6
0:07.009 || 0:07.009: Child 1 Message 6
0:07.009 || 0:07.009: Child 2 Message 6
0:07.009 || 0:07.009: Child 3 Message 6
0:08.009 || 0:08.009: Child 0 Message 9
0:08.009 || 0:08.009: Child 1 Message 9
0:08.009 || 0:08.009: Child 2 Message 9
0:08.009 || 0:08.009: Child 3 Message 9
0:10.010 || 0:10.009: Child 0 Message 10
0:10.010 || 0:10.009: Child 1 Message 10
0:10.010 || 0:10.009: Child 2 Message 10
0:10.010 || 0:10.010: Child 3 Message 10
0:10.430 || 0:10.430: User Message: Hello
0:11.010 || 0:11.010: Child 0 Message 11
0:11.010 || 0:11.010: Child 1 Message 11
0:11.010 || 0:11.010: Child 2 Message 11
0:11.010 || 0:11.010: Child 3 Message 11
0:12.237 || 0:12.237: User Message: Message
0:13.010 || 0:13.010: Child 0 Message 12
0:13.010 || 0:13.010: Child 1 Message 12
0:13.010 || 0:13.010: Child 2 Message 12
0:13.010 || 0:13.010: Child 3 Message 12
0:13.097 || 0:13.097: User Message: Juan
0:14.011 || 0:14.011: Child 0 Message 13
0:14.011 || 0:14.011: Child 1 Message 13
0:14.011 || 0:14.011: Child 2 Message 13
0:14.011 || 0:14.011: Child 3 Message 13
0:15.230 || 0:15.230: User Message: Irene
0:16.011 || 0:16.011: Child 0 Message 14
0:16.011 || 0:16.011: Child 1 Message 14
0:16.011 || 0:16.011: Child 2 Message 14
0:16.011 || 0:16.011: Child 3 Message 14
0:16.407 || 0:16.407: User Message: Andres
0:17.012 || 0:17.011: Child 0 Message 15
0:17.012 || 0:17.012: Child 1 Message 15
0:17.012 || 0:17.011: Child 2 Message 15
0:17.012 || 0:17.012: Child 3 Message 15
0:18.013 || 0:18.013: Child 0 Message 18
0:18.013 || 0:18.013: Child 1 Message 18
0:18.013 || 0:18.013: Child 2 Message 18
0:18.013 || 0:18.013: Child 3 Message 18
0:19.013 || 0:19.013: Child 0 Message 19
0:19.013 || 0:19.013: Child 1 Message 19
0:19.013 || 0:19.013: Child 2 Message 19
0:19.013 || 0:19.013: Child 3 Message 19
0:21.013 || 0:21.013: Child 0 Message 20
0:21.013 || 0:21.013: Child 1 Message 20
0:21.013 || 0:21.013: Child 2 Message 20
0:21.013 || 0:21.013: Child 3 Message 20
0:22.378 || 0:22.378: User Message: 9:05
0:23.014 || 0:23.014: Child 0 Message 21
0:23.014 || 0:23.014: Child 1 Message 21
0:23.014 || 0:23.014: Child 2 Message 21
0:23.014 || 0:23.014: Child 3 Message 21
0:25.014 || 0:25.014: Child 0 Message 24
0:25.014 || 0:25.014: Child 1 Message 24
0:25.014 || 0:25.014: Child 2 Message 24
0:25.014 || 0:25.014: Child 3 Message 24
0:25.337 || 0:25.337: User Message: ding
0:26.515 || 0:26.515: User Message: phone
0:27.015 || 0:27.015: Child 0 Message 25
0:27.015 || 0:27.015: Child 1 Message 25
0:27.015 || 0:27.015: Child 2 Message 25
0:27.015 || 0:27.015: Child 3 Message 25
0:29.016 || 0:29.016: Child 0 Message 26
0:29.016 || 0:29.016: Child 1 Message 26
0:29.016 || 0:29.016: Child 2 Message 26
0:29.016 || 0:29.016: Child 3 Message 26
